                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.79173,                0.46733,                0.88591,                0.93369,                0.93197,                0.96282,                0.73563,                0.89346,                0.55484,                0.92308,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.7853,                0.46301,                0.88427,                0.89861,                0.91849,                0.95062,                0.72364,                0.86681,                0.56793,                0.91758,              0.0088318,              0.0088318,              0.0088318
                    120,                0.77161,                0.45671,                0.88784,                0.94685,                0.90187,                0.94869,                0.73019,                0.88497,                0.56423,                0.92382,              0.0088219,              0.0088219,              0.0088219
                    121,                0.77943,                0.45945,                0.88278,                0.94029,                0.90408,                0.95245,                0.73626,                0.85026,                 0.5444,                0.92279,               0.008812,               0.008812,               0.008812
                    122,                 0.7935,                0.46223,                0.88881,                0.93622,                0.92178,                0.95721,                0.72726,                 0.8705,                 0.5366,                 0.9219,              0.0088021,              0.0088021,              0.0088021
                    123,                  0.771,                 0.4535,                0.88262,                 0.9215,                0.93992,                0.95683,                 0.7296,                0.84962,                0.52715,                0.90859,              0.0087922,              0.0087922,              0.0087922
                    124,                 0.7855,                 0.4624,                0.88515,                0.91855,                0.92335,                 0.9496,                0.73408,                0.86116,                0.56922,                 0.9144,              0.0087823,              0.0087823,              0.0087823
                    125,                0.78493,                0.45278,                0.88645,                0.91448,                0.94017,                0.95432,                0.73008,                0.86374,                0.55679,                0.90732,              0.0087724,              0.0087724,              0.0087724
                    126,                0.78861,                0.46316,                0.88638,                0.94177,                0.92223,                0.95916,                0.72737,                0.86401,                0.53077,                0.92099,              0.0087625,              0.0087625,              0.0087625
                    127,                0.77647,                0.46037,                0.88024,                 0.9426,                0.90607,                0.95282,                0.73437,                0.85363,                0.56261,                0.91703,              0.0087526,              0.0087526,              0.0087526
                    128,                0.77377,                0.45252,                0.88116,                0.93414,                0.92183,                0.95014,                0.73408,                0.85979,                0.54874,                0.91601,              0.0087427,              0.0087427,              0.0087427
                    129,                0.77429,                0.45646,                 0.8855,                 0.9336,                0.91126,                0.95631,                0.74618,                0.87837,                0.54201,                0.92768,              0.0087328,              0.0087328,              0.0087328
                    130,                0.77065,                0.44974,                0.88677,                0.93916,                0.91666,                0.96361,                0.72263,                0.87244,                0.55795,                0.91481,              0.0087229,              0.0087229,              0.0087229
                    131,                0.77708,                0.46156,                0.88701,                0.91922,                0.92285,                0.94166,                0.72116,                0.87465,                0.54237,                0.91815,               0.008713,               0.008713,               0.008713
                    132,                 0.7626,                0.45169,                0.87871,                0.92657,                0.91705,                  0.954,                0.72936,                0.86758,                0.54283,                0.91164,              0.0087031,              0.0087031,              0.0087031
                    133,                0.75525,                0.44426,                0.87675,                  0.939,                0.91419,                 0.9559,                0.73353,                0.88032,                0.54522,                0.91913,              0.0086932,              0.0086932,              0.0086932
                    134,                  0.762,                0.44665,                0.88108,                0.94174,                0.92835,                0.95933,                 0.7337,                0.88154,                0.54688,                0.91651,              0.0086833,              0.0086833,              0.0086833
                    135,                0.76199,                0.44673,                  0.883,                0.91529,                0.92986,                0.95387,                0.73604,                0.88447,                 0.5493,                0.92257,              0.0086734,              0.0086734,              0.0086734
                    136,                0.77164,                0.44938,                0.88176,                0.92036,                 0.9126,                0.94166,                0.73046,                0.87348,                0.55943,                0.92651,              0.0086635,              0.0086635,              0.0086635
                    137,                0.74792,                0.43673,                0.87515,                0.93066,                0.91766,                 0.9447,                0.73665,                 0.8707,                 0.5633,                0.92284,              0.0086536,              0.0086536,              0.0086536
                    138,                0.76116,                0.44382,                0.87922,                 0.9314,                0.93505,                0.94893,                 0.7388,                0.86836,                0.54242,                0.92663,              0.0086437,              0.0086437,              0.0086437
                    139,                0.77197,                0.44682,                0.88079,                0.93572,                0.93408,                0.96509,                0.73773,                0.85739,                0.51789,                0.91483,              0.0086338,              0.0086338,              0.0086338
                    140,                0.76926,                0.45092,                0.87338,                0.93346,                0.91604,                0.95395,                0.73052,                0.86021,                0.54224,                0.91686,              0.0086239,              0.0086239,              0.0086239
                    141,                0.76418,                0.45042,                 0.8808,                0.92936,                0.92827,                0.95868,                0.72737,                0.89443,                 0.5363,                0.92799,               0.008614,               0.008614,               0.008614
                    142,                0.77524,                0.44821,                0.88687,                0.94738,                0.92597,                0.95316,                0.72854,                0.86155,                0.52484,                0.91189,              0.0086041,              0.0086041,              0.0086041
                    143,                0.75236,                 0.4338,                0.87646,                0.93667,                0.92445,                0.95137,                0.73528,                 0.8642,                0.52843,                0.91037,              0.0085942,              0.0085942,              0.0085942
                    144,                0.75173,                0.43956,                0.87259,                0.93432,                0.93015,                0.95508,                0.73243,                0.83996,                0.52143,                0.91245,              0.0085843,              0.0085843,              0.0085843
                    145,                0.76029,                0.44226,                 0.8796,                0.92802,                0.90635,                0.95033,                0.72696,                0.85914,                0.53685,                0.91772,              0.0085744,              0.0085744,              0.0085744
                    146,                0.76937,                0.44334,                0.88504,                0.93067,                0.92401,                0.95822,                0.73917,                0.85738,                0.52715,                0.91655,              0.0085645,              0.0085645,              0.0085645
